Movie Name,Movie Length (min),Movie Type,Descreption,Director,Stars,Image URL
"["" Ocean's Eight (2018)""]",['110 min'],"[['Action'], ['Comedy'], ['Crime'], ['Thriller']]","[""\n    Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.                    ""]",['Gary Ross'],"[['Sandra Bullock'], ['Cate Blanchett'], ['Anne Hathaway'], ['Mindy Kaling']]","['https://m.media-amazon.com/images/M/MV5BMjAyNDEyMzc4Ml5BMl5BanBnXkFtZTgwMjEzNjM0NTM@._V1_UY209_CR0', '0', '140', '209_AL_.jpg']"
[' Hotel Artemis (2018)'],['93 min'],"[['Action'], ['Crime'], ['Thriller'], []]","[""\n    Set in riot-torn, near-future Los Angeles, 'Hotel Artemis' follows the Nurse, who runs a secret, members-only emergency room for criminals.                    ""]",['Drew Pearce'],"[['Jodie Foster'], ['Sofia Boutella'], ['Dave Bautista'], ['Sterling K. Brown']]","['https://m.media-amazon.com/images/M/MV5BMDhhNWE3NmQtY2Y1OC00MzQ4LWJhNjktZWEzNjEzMTE3YWIyXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX140_CR0', '0', '140', '209_AL_.jpg']"
[' Hereditary (2018)'],['127 min'],"[['Drama'], ['Horror'], ['Mystery'], ['Thriller']]","[""\n    When the matriarch of the Graham family passes away, her daughter's family begins to unravel cryptic and increasingly terrifying secrets about their ancestry.                    ""]",['Ari Aster'],"[['Toni Collette'], ['Milly Shapiro'], ['Gabriel Byrne'], ['Alex Wolff']]","['https://m.media-amazon.com/images/M/MV5BOTU5MDg3OGItZWQ1Ny00ZGVmLTg2YTUtMzBkYzQ1YWIwZjlhXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_UY209_CR0', '0', '140', '209_AL_.jpg']"
"["" Won't You Be My Neighbor? (2018)""]",['94 min'],"[['Documentary'], ['Biography'], [], []]","[""\n    An exploration of the life, lessons, and legacy of iconic children's television host, "", '.                    ']",['Morgan Neville'],"[['Joanne Rogers'], ['McColm Cephas Jr.'], ['François Scarborough Clemmons'], ['Kailyn Davis']]","['https://m.media-amazon.com/images/M/MV5BMjM1NDg1MjUzNF5BMl5BanBnXkFtZTgwNTAxNjIzNTM@._V1_UY209_CR0', '0', '140', '209_AL_.jpg']"
[' Hearts Beat Loud (2018)'],['97 min'],"[['Drama'], ['Music'], [], []]",['\n    A father and daughter form an unlikely songwriting duo in the summer before she leaves for college.                    '],['Brett Haley'],"[['Nick Offerman'], ['Kiersey Clemons'], ['Ted Danson'], ['Toni Collette']]","['https://m.media-amazon.com/images/M/MV5BMjA2MTM2MjcxNV5BMl5BanBnXkFtZTgwMzI3ODgyNTM@._V1_UY209_CR0', '0', '140', '209_AL_.jpg']"
"["" La quête d'Alain Ducasse (2017)""]",[],"[['Documentary'], [], [], []]","['\n    With 18 Michelin stars, Alain Ducasse creates restaurants for our times, builds schools and pushes the boundaries of his profession. This public, yet secretive man agreed to be followed for 2 years, thereby revealing his evolving universe.                    ']",['Gilles de Maistre'],"[['Alain Ducasse'], [], [], []]","['https://m.media-amazon.com/images/M/MV5BODEwOWZjYWUtOTZhNS00YjgxLWFhZmMtNGZjNmU5ODViNmQwXkEyXkFqcGdeQXVyMjA1MTQyNzE@._V1_UY209_CR7', '0', '140', '209_AL_.jpg']"
"[' Westwood: Punk, Icon, Activist (2018)']",['83 min'],"[['Documentary'], [], [], []]","[""\n    The first film to encompass the remarkable story of one of the true icons of our time, as she fights to maintain her brand's integrity, her principles - and her legacy.                    ""]",['Lorna Tucker'],"[['Vivienne Westwood'], [], [], []]","['https://m.media-amazon.com/images/M/MV5BYjA2YTkzYTYtMjE5My00ZDk4LWI5YTItZTdiYzI4M2FlOTJiXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_UY209_CR0', '0', '140', '209_AL_.jpg']"
[' Solo: A Star Wars Story (2018)'],['135 min'],"[['Action'], ['Adventure'], ['Fantasy'], ['Sci-Fi']]","['\n    During an adventure into the criminal underworld, Han Solo meets his future copilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.                    ']",['Ron Howard'],"[['Alden Ehrenreich'], ['Woody Harrelson'], ['Emilia Clarke'], ['Donald Glover']]","['https://m.media-amazon.com/images/M/MV5BOTM2NTI3NTc3Nl5BMl5BanBnXkFtZTgwNzM1OTQyNTM@._V1_UY209_CR0', '0', '140', '209_AL_.jpg']"
[' Deadpool 2 (2018)'],['119 min'],"[['Action'], ['Adventure'], ['Comedy'], ['Sci-Fi']]","['\n    Foul-mouthed mutant mercenary Wade Wilson (AKA. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg, Cable.                    ']",['David Leitch'],"[['Ryan Reynolds'], ['Josh Brolin'], ['Morena Baccarin'], ['Julian Dennison']]","['https://m.media-amazon.com/images/M/MV5BMjI3Njg3MzAxNF5BMl5BanBnXkFtZTgwNjI2OTY0NTM@._V1_UY209_CR0', '0', '140', '209_AL_.jpg']"
[' Adrift (2018)'],['96 min'],"[['Action'], ['Adventure'], ['Drama'], ['Romance']]","[""\n    Based on the true story of survival, a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history.                    ""]",['Baltasar Kormákur'],"[['Shailene Woodley'], ['Sam Claflin'], ['Grace Palmer'], ['Jeffrey Thomas']]","['https://m.media-amazon.com/images/M/MV5BMTkxMTI2MjE4OF5BMl5BanBnXkFtZTgwMjIyODQzNTM@._V1_UY209_CR0', '0', '140', '209_AL_.jpg']"
